id,ticker,timestamp,open,high,low,close,volume,turnover
5120719,AAPL,2023-11-30 00:00:00,188.85,189.33,187.2,188.96,48794366,9238550400.0
5120720,AAPL,2023-12-01 00:00:00,189.34,190.57,188.24,190.25,45704823,8723269231.0
5120721,AAPL,2023-12-04 00:00:00,188.99,189.06,186.461,188.44,43394957,8196973182.0
5120722,AAPL,2023-12-05 00:00:00,189.22,193.41,189.19,192.43,66628398,12870706889.0
5120723,AAPL,2023-12-06 00:00:00,193.46,193.77,191.12,191.33,41089737,7922152700.0
5120724,AAPL,2023-12-07 00:00:00,192.64,194.01,192.6,193.28,47477655,9229516619.0
5120725,AAPL,2023-12-08 00:00:00,193.21,195.0,192.68,194.72,53406358,10423001190.0
5120726,AAPL,2023-12-11 00:00:00,192.12,192.5,190.43,192.19,60943699,11744393724.0
5120727,AAPL,2023-12-12 00:00:00,192.09,193.73,190.731,193.72,52696900,10211782712.0
5120728,AAPL,2023-12-13 00:00:00,194.1,197.01,193.86,196.97,70404183,13863184277.0
5120729,AAPL,2023-12-14 00:00:00,197.03,198.63,195.17,197.12,66831572,13251845346.0
5120730,AAPL,2023-12-15 00:00:00,196.54,197.41,196.01,196.58,128538401,25394112107.0
5120731,AAPL,2023-12-18 00:00:00,195.1,195.64,193.4,194.9,55751861,10906485397.0
5120732,AAPL,2023-12-19 00:00:00,195.17,195.96,194.9,195.95,40714051,8001438355.0
5120733,AAPL,2023-12-20 00:00:00,195.91,196.69,193.84,193.84,52242815,10247009623.0
5120734,AAPL,2023-12-21 00:00:00,195.11,196.09,192.51,193.69,46482549,9052127204.0
5120735,AAPL,2023-12-22 00:00:00,194.19,194.42,191.98,192.61,37149570,7210778344.0
5120736,AAPL,2023-12-26 00:00:00,192.62,192.9,191.84,192.06,28919310,5586381605.0
5120737,AAPL,2023-12-27 00:00:00,191.5,192.51,190.1,192.16,48087681,9260141930.0
5120738,AAPL,2023-12-28 00:00:00,193.15,193.67,192.18,192.59,34049898,6603031144.0
5120739,AAPL,2023-12-29 00:00:00,192.91,193.41,190.735,191.54,42672148,8217635465.0
5120740,AAPL,2024-01-02 00:00:00,186.16,187.45,182.895,184.65,82488674,15337729811.0
5120741,AAPL,2024-01-03 00:00:00,183.23,184.89,182.44,183.26,58414460,10767107499.0
5120742,AAPL,2024-01-04 00:00:00,181.16,182.097,179.89,180.92,71983570,13102271849.0
5120743,AAPL,2024-01-05 00:00:00,181.0,181.77,179.18,180.19,62379661,11320283927.0
5120744,AAPL,2024-01-08 00:00:00,181.095,184.61,180.51,184.57,59144470,10904478772.0
5120745,AAPL,2024-01-09 00:00:00,182.93,184.16,181.74,184.15,42841809,7898768172.0
5120746,AAPL,2024-01-10 00:00:00,183.36,185.41,182.93,185.2,46792908,8667934451.0
