Date,Symbol,Company,Type,Split Ratio
2024-10-16,ME,23Andme Holding Co,Reverse,1 for 20.00
2024-10-16,DLPN,Dolphin Entertainment,Reverse,1 for 2.00
2024-10-16,STSS,"Sharps Technology, Inc.",Reverse,1 for 22.00
2024-10-16,TMDIF,Conavi Medical Corp.,Reverse,1 for 25.00
2024-10-16,RDFEF,Brookside Energy Limited,Reverse,1 for 50.00
2024-10-15,AGBA,Triller Group Incorporation,Reverse,1 for 4.00
2024-10-15,NMTAF,Neometals Ltd.,Forward,1.00 for 1
2024-10-15,UAVS,Ageagle Aerial,Reverse,1 for 50.00
2024-10-15,PYMOF,Hydrocarbon Dynamics Limited,Forward,1.00 for 1
2024-10-14,CBBB,Catalyst Crew Technologies Corp,Reverse,1 for 450.00
2024-10-14,PIXY,ShiftPixy,Reverse,1 for 15.00
2024-10-14,PTITF,PT Indosat Tbk Class B,Forward,0.25 for 1
2024-10-11,ALCE,Alternus Clean Energy Inc.,Reverse,1 for 25.00
2024-10-11,TMDIF,Conavi Medical Corp.,Reverse,1 for 25.00
2024-10-11,NVEE,NV5 Holdings Inc,Forward,0.25 for 1
2024-10-10,WLDS,Wearable Devices Ltd.,Reverse,1 for 20.00
2024-10-10,INHD,"Inno Holdings, Inc.",Reverse,1 for 10.00
2024-10-09,VERB,Verb Technology Company,Reverse,1 for 200.00
2024-10-09,HOLO,Microcloud Hologram Inc.,Reverse,1 for 20.00
2024-10-09,CNGGF,Cann Group Ltd.,Forward,1.00 for 1
2024-10-09,MAXN,"Maxeon Solar Technologies, Ltd.",Reverse,1 for 100.00
2024-10-09,VIRI,Dogwood Therapeutics Inc,Reverse,1 for 25.00
2024-10-09,XPON,"Expion360, Inc.",Reverse,1 for 100.00
2024-10-09,NJDCY,Nidec Corporation Sponsored ADR,Forward,0.50 for 1
2024-10-09,SQNS,Sequans Communications S,Reverse,1 for 2.50
2024-10-09,TTDKY,TDK Corporation,Forward,0.20 for 1
2024-10-09,ALFFF,Alfa SAB de CV Class A,Forward,1.00 for 1
2024-10-09,SONY,Sony Group Corporation,Forward,0.20 for 1
2024-10-08,AZ,A2z Smart Technologies Corp,Reverse,1 for 2.50
2024-10-08,VMAR,"Vision Marine Technologies, Inc.",Reverse,1 for 9.00
2024-10-08,AGFY,Agrify Corp.,Reverse,1 for 15.00
2024-10-08,SGD,Safe And Green Development Corporation,Reverse,1 for 20.00
2024-10-07,HLTC,"National Healthcare Properties, Inc.",Reverse,1 for 4.00
2024-10-07,RPHM,"Onkure Therapeutics, Inc.",Reverse,1 for 10.00
2024-10-07,AMSSY,Ams-Osram Ag Unsponsored Adr,Reverse,1 for 10.00
2024-10-04,STRM,Streamline Health Solutions,Reverse,1 for 15.00
2024-10-04,SIFY,Sify Technologies Limited,Reverse,1 for 6.00
2024-10-04,BDRX,Biodexa Pharmaceuticals Plc,Reverse,1 for 25.00
2024-10-04,NASO,Naples Soap Company Inc,Reverse,1 for 700.00
2024-10-04,LSB,"Lakeshore Biopharma Co., Ltd",Reverse,1 for 10.00
2024-10-03,CETX,Cemtrex,Reverse,1 for 60.00
2024-10-03,KRKR,36Kr Holdings Inc Adr Class A,Reverse,1 for 20.00
2024-10-03,UPXI,"Upexi, Inc.",Reverse,1 for 20.00
2024-10-03,BJURF,Bonjour Holdings Limited,Reverse,1 for 20.00
2024-10-03,LRCX,Lam Research Corp,Forward,0.10 for 1
2024-10-02,AGBA,Triller Group Incorporation,Forward,0.52 for 1
